date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:12	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:12%20GMT	https://oldschool.runescape.com/slu?order=mpAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slub4e6.html	(from https://oldschool.runescape.com/slu?order=pAlwM)
21:10:12	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:12%20GMT	https://oldschool.runescape.com/slu?order=MpAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sluc0a1.html	(from https://oldschool.runescape.com/slu?order=pAlwM)
21:10:13	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:13%20GMT	https://oldschool.runescape.com/slu?order=mPAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sludf7e.html	(from https://oldschool.runescape.com/slu?order=PAlwM)
21:10:13	212716/212716	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:13%20GMT	https://oldschool.runescape.com/slu?order=MPAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu6b4e.html	(from https://oldschool.runescape.com/slu?order=PAlwM)
21:10:14	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:14%20GMT	https://oldschool.runescape.com/slu?order=pmAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu433f.html	(from https://oldschool.runescape.com/slu?order=mAlwP)
21:10:14	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:14%20GMT	https://oldschool.runescape.com/slu?order=PmAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sluf205.html	(from https://oldschool.runescape.com/slu?order=mAlwP)
21:10:15	212716/212716	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:15%20GMT	https://oldschool.runescape.com/slu?order=pMAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu7418.html	(from https://oldschool.runescape.com/slu?order=MAlwP)
21:10:16	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:15%20GMT	https://oldschool.runescape.com/slu?order=PMAlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu2794.html	(from https://oldschool.runescape.com/slu?order=MAlwP)
21:10:16	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:16%20GMT	https://oldschool.runescape.com/slu?order=ampLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu00df.html	(from https://oldschool.runescape.com/slu?order=mpLwA)
21:10:17	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:17%20GMT	https://oldschool.runescape.com/slu?order=AmpLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu477c.html	(from https://oldschool.runescape.com/slu?order=mpLwA)
21:10:17	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:17%20GMT	https://oldschool.runescape.com/slu?order=aMpLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu4fe8.html	(from https://oldschool.runescape.com/slu?order=MpLwA)
21:10:18	212716/212716	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:18%20GMT	https://oldschool.runescape.com/slu?order=AMpLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slub003.html	(from https://oldschool.runescape.com/slu?order=MpLwA)
21:10:19	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:18%20GMT	https://oldschool.runescape.com/slu?order=mapLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sluf12c.html	(from https://oldschool.runescape.com/slu?order=apLwM)
21:10:19	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:19%20GMT	https://oldschool.runescape.com/slu?order=MapLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu7505.html	(from https://oldschool.runescape.com/slu?order=apLwM)
21:10:20	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:19%20GMT	https://oldschool.runescape.com/slu?order=mApLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slue411.html	(from https://oldschool.runescape.com/slu?order=ApLwM)
21:10:20	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:20%20GMT	https://oldschool.runescape.com/slu?order=MApLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu4736.html	(from https://oldschool.runescape.com/slu?order=ApLwM)
21:10:21	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:20%20GMT	https://oldschool.runescape.com/slu?order=amPLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu7022.html	(from https://oldschool.runescape.com/slu?order=mPLwA)
21:10:21	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:21%20GMT	https://oldschool.runescape.com/slu?order=AmPLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sluf9e8.html	(from https://oldschool.runescape.com/slu?order=mPLwA)
21:10:22	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:21%20GMT	https://oldschool.runescape.com/slu?order=aMPLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sluedee.html	(from https://oldschool.runescape.com/slu?order=MPLwA)
21:10:22	212717/212717	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:10:22%20GMT	https://oldschool.runescape.com/slu?order=AMPLw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu50f9.html	(from https://oldschool.runescape.com/slu?order=MPLwA)
